PostId,PostTypeId,ParentId,CreationDate,Score,ViewCount,OwnerUserId,OwnerDisplayName,LastActivityDate,LastEditDate,CommentCount,FavouriteCount
29533,2,23909,2015-04-12T04:20:43.003,1,,28648,,2015-04-12T04:20:43.003,,0,
29624,2,29623,2015-04-15T09:21:51.573,2,,13650,,2015-04-15T09:57:02.630,2015-04-15T09:57:02.630,0,
29694,2,28689,2015-04-17T02:46:48.300,0,,11673,,2017-11-26T09:03:18.980,2017-11-26T09:03:18.980,0,
29721,2,29720,2015-04-18T00:43:25.583,2,,28648,,2015-04-18T00:43:25.583,,0,
29735,2,29734,2015-04-18T15:29:34.463,3,,13650,,2015-04-18T15:49:13.707,2018-12-17T19:02:24.963,1,
29952,2,29947,2015-04-25T16:16:56.007,10,,5538,,2018-01-13T16:50:37.707,2018-01-13T16:50:37.707,0,
29956,2,29953,2015-04-25T17:17:05.273,2,,13650,,2015-04-25T17:50:33.770,2015-04-25T17:50:33.770,3,
29995,2,29989,2015-04-27T11:17:32.193,2,,5538,,2015-04-27T11:17:32.193,,2,
30073,2,30054,2015-04-29T10:37:50.940,3,,13650,,2015-04-29T10:37:50.940,,1,
30145,2,30054,2015-05-01T22:29:49.580,2,,28759,,2015-05-01T22:29:49.580,,0,
30173,2,30170,2015-05-03T02:24:26.613,3,,13406,,2015-05-03T02:24:26.613,,0,
30180,2,30179,2015-05-03T12:51:16.290,1,,29518,,2015-05-03T12:51:16.290,,2,
30204,2,30201,2015-05-04T14:08:28.140,1,,5538,,2015-05-04T16:59:32.977,2015-05-04T16:59:32.977,4,
31298,2,9695,2015-05-06T17:35:19.430,6,,7232,,2015-05-06T17:35:19.430,2017-04-13T12:56:25.647,4,
31322,2,31321,2015-05-07T13:05:15.387,2,,5538,,2015-05-07T13:05:15.387,2017-04-13T12:37:13.353,5,
31337,2,15244,2015-05-07T19:21:18.577,-2,,30671,,2015-08-23T21:43:32.520,2015-08-23T21:43:32.520,1,
